date,title,views,likes,comments,team_score,opponent_score,result
2021-04-09,"Big Questions For The Manager | Arsenal 1-1 Slavia Prague | Full Time Ft. Turkish, Cecil Jee & James",61443,1669.0,531,1.0,1.0,draw
2021-04-11,"Sheffield United 0-3 Arsenal | I’m Very, Very Confident We’ll Beat Slavia Prague! (TY)",401557,10406.0,1526,3.0,0.0,win
2021-04-12,Laca Thrives In Arteta Experiment | FULL-TIME | Sheffield United 0-3 Arsenal,158926,3508.0,521,3.0,0.0,win
2021-04-15,Slavia Prague 0-4 Arsenal | Focus On The Prize & Not Unai Emery! (Kelechi),395425,10975.0,1427,4.0,0.0,win
2021-04-16,We Live To Fight Another Day! | FULL-TIME | Slavia Prague 0-4 Arsenal,35672,1026.0,105,4.0,0.0,win
2021-04-18,Arsenal 1-1 Fulham | Nketiah Saves The Day! (DT Player Ratings),62467,1424.0,306,1.0,1.0,draw
2021-04-19,Continuously Inconsistent | Arsenal 1-1 Fulham | FULL-TIME,18518,469.0,125,1.0,1.0,draw
2021-04-23,Arsenal 0-1 Everton | TY Rages Against VAR!,720854,18522.0,3216,0.0,1.0,loss
2021-04-24,"Players Got It Wrong, But Fans Got It Right! | Arsenal 0-1 Everton |  FULL-TIME",72777,1903.0,331,0.0,1.0,loss
2021-04-29,Villarreal 2-1 Arsenal | Experimenting In The Semi Final... No! (Adriano),137537,3326.0,462,1.0,2.0,loss
2021-04-30,Villarreal 2-1 Arsenal | It's ALL on Arteta!,252089,6100.0,1166,1.0,2.0,loss
2021-05-02,Newcastle 0-2 Arsenal | TY Is Super Confident Arsenal Will Get To The Europa Final,276063,7287.0,1284,2.0,0.0,win
2021-05-03,Martinelli & Aubameyang Give Us Hope! | Newcastle 0-2 Arsenal | FULL-TIME,47268,1172.0,184,2.0,0.0,win
2021-05-06,Arsenal 0-0 Villarreal | We Are At Our Lowest Point (Depressed Kelechi),1253145,30783.0,5649,0.0,0.0,draw
2021-05-07,Arsenal 0-0 Villarreal | Robbie's Full Time Reaction,285597,6944.0,1042,0.0,0.0,draw
2021-05-09,Arsenal 3-1 West Brom | Why Didn’t Arteta Play Saka At Left Back On Thursday? (Kelechi),495377,11437.0,1543,3.0,1.0,win
2021-05-10,Good Win But It Feels Empty! | Arsenal 3-1 West Brom | FULL-TIME,174330,4169.0,609,3.0,1.0,win
2021-05-12,Chelsea 0-1 Arsenal | This Needs To Be The Blueprint! (Kelechi),289122,7769.0,1486,1.0,0.0,win
2021-05-13,You Earn Your Luck! | Chelsea 0-1 Arsenal | FULL-TIME,189552,5147.0,742,1.0,0.0,win
2021-05-19,Crystal Palace 1-3 Arsenal | Pepe Upstaged Zaha! (Stricto),162558,3803.0,709,3.0,1.0,win
2021-05-20,Pepe Class But 7th Might Happen! | Palace 1-3 Arsenal | FULL-TIME,60289,1583.0,487,3.0,1.0,win
2021-05-22,AFTV Player Of The Season 2020/21,48802,1458.0,521,2.0,0.0,win
2021-05-23,Arsenal 2-0 Brighton | We MUST Sign Grealish! (Dan Passionate Rant),498414,11893.0,2652,2.0,0.0,win
2021-07-13,Hibernian 2-1 Arsenal | We Need Five New Signings! (Ty),560838,12850.0,2529,1.0,2.0,loss
2021-07-16,Arsenal 2021/22 Home Kit Review,99828,2767.0,937,2.0,1.0,win
2021-07-17,Rangers 2-2 Arsenal | Ben White Two For The Price Of One (Julian),411344,9291.0,1922,2.0,2.0,draw
2021-07-28,5 Things We Learnt - Arsenal 4-1 Watford | AFTV News Daily Ft. Graham,134731,2717.0,406,4.0,1.0,win
2021-08-01,Arsenal 1-2 Chelsea | Fans React To Ben White's Debut,946312,20907.0,3933,1.0,2.0,loss
2021-08-08,Tottenham 1-0 Arsenal | Another Goalkeeper Is Priority!,770053,17554.0,3927,0.0,1.0,loss
2022-01-09,Nottingham Forest 1-0 Arsenal | Full-Time Live,199242,3482.0,817,0.0,1.0,loss
2022-01-20,Arsenal 0-2 Liverpool | Trophies Over Top 4! (Stricto),32850,717.0,177,0.0,2.0,loss
2022-01-21,"Arsenal 0-2 Liverpool | No Excuses, We Must Get Top 4 (Kelechi)",34528,770.0,128,0.0,2.0,loss
2022-01-23,Arsenal 0-0 Burnley | Fan Round Up!,334916,6860.0,1866,0.0,0.0,draw
2022-01-24,FIVE Things Arteta Could Do Despite Thin Squad? | Arsenal 0-0 Burnley,83771,1873.0,580,0.0,0.0,draw
2022-02-10,Crucial Win After Controversial Red! Wolves 0-1 Arsenal,107628,2219.0,168,1.0,0.0,win
2022-02-11,Wolves 0-1 Arsenal | That Was A Six Pointer!,14702,364.0,40,1.0,0.0,win
2022-02-19,Arsenal 2-1 Brentford | Partey & Odegaard Are World Class,299737,7262.0,805,2.0,1.0,win
2022-02-21,Arteta’s 4-3-3 Finally Coming Together?,57567,1427.0,189,3.0,4.0,loss
2022-02-24,Arsenal 2-1 Wolves | Ty Rips Into Wolves!,314766,8478.0,718,2.0,1.0,win
2022-02-25,Pepe & Arteta Praise In CRUCIAL Win! Arsenal 2-1 Wolves,300120,8099.0,1015,2.0,1.0,win
2022-03-06,Watford 2-3 Arsenal | The Youngsters Are Unbelievable!,479825,12038.0,1016,3.0,2.0,win
2022-03-13,Arsenal 2-0 Leicester | Fan Round Up!,641611,23792.0,3009,2.0,0.0,win
2022-03-16,Arsenal 0-2 Liverpool | We Can Still Get Top 4!,80608,1886.0,474,0.0,2.0,loss
2022-03-17,Arsenal 0-2 Liverpool | Player Ratings! (Robbie),385493,7606.0,2359,0.0,2.0,loss
2022-03-19,Aston Villa 0-1 Arsenal | Who Was Your Man Of The Match? (Fan Round Up),938637,23509.0,2329,1.0,0.0,win
2022-03-20,Aston Villa 0-1 Arsenal | Player Ratings (Turkish),91997,2667.0,397,1.0,0.0,win
2022-04-04,Crystal Palace 3-0 Arsenal | Now Have To Win The Games We Weren't Banking On!,494466,9392.0,3331,0.0,3.0,loss
2022-04-05,Crystal Palace 3-0 Arsenal | A Horrendous Day At The Office! (Robbie’s Player Ratings),60151,1187.0,429,0.0,3.0,loss
2022-04-09,Arsenal 1-2 Brighton | It's Like We Had No Plan! (Helen),1199552,25039.0,6585,1.0,2.0,loss
2022-04-10,Arsenal 1-2 Brighton | Player Ratings (Robbie),85707,1524.0,344,1.0,2.0,loss
2022-04-11,Did Tavares Omission Cause Even MORE Disruption? Arsenal 1-2 Brighton,33332,807.0,203,1.0,2.0,loss
2022-04-16,Southampton 1-0 Arsenal | Fan Round Up!,877312,16326.0,4502,0.0,1.0,loss
2022-04-17,Southampton 1-0 Arsenal | Some Ok Displays Despite Terrible Result! (Player Ratings James),78068,1553.0,517,0.0,1.0,loss
2022-04-18,Where Has It All Gone Wrong? Tactical Insight | Southampton 1-0 Arsenal,30036,780.0,187,0.0,1.0,loss
2022-04-20,Chelsea 2-4 Arsenal | We Have To Beat United!,1047762,30238.0,3181,4.0,2.0,win
2022-04-21,Chelsea 2-4 Arsenal One Thing About This Team Is That They Don't Give Up! (Player Ratings Turkish),118166,2962.0,409,4.0,2.0,win
2022-04-23,Arsenal 3-1 Man United | Arsenal Are Going From Boyz To Men! (Fan Round Up 3),1584387,44817.0,3570,3.0,1.0,win
2022-04-24,Arsenal 3-1 Man United | Manchester United Hahahahaha (Charlene),196143,5140.0,855,3.0,1.0,win
2022-04-25,How Arteta & Arsenal Pulled Off The Perfect Week! Arsenal 3-1 Man Utd,49670,1410.0,196,3.0,1.0,win
2022-05-01,AFTV Celebrate Gabriel's Goal With Nigerian Arsenal Fans Live From Lagos! | West Ham 1-2 Arsenal,907475,26781.0,2632,2.0,1.0,win
2022-05-08,Arsenal 2-1 Leeds | We'll Be Top 4 Come Newcastle! (Turkish),922915,23046.0,2628,2.0,1.0,win
2022-05-09,Arsenal 2-1 Leeds | Player Ratings!,89267,2149.0,264,2.0,1.0,win
2022-05-12,Tottenham 3-0 Arsenal | Talk About Setting An Example... Not!,973531,17812.0,6222,0.0,3.0,loss
2022-05-13,Tottenham 3-0 Arsenal | Self Inflicted Defeat! (Robbie’s Player Ratings),83399,1499.0,534,0.0,3.0,loss
2022-05-16,Newcastle 2-0 Arsenal | Humble Pie Back In The Freezer! (Dan Potts),1395311,24724.0,8524,0.0,2.0,loss
2022-05-17,Newcastle 2-0 Arsenal | The Only 10 Are The Fans! (Robbie's Player Ratings),147799,2411.0,1063,0.0,2.0,loss
2022-05-19,Arsenal’s Home Kit 2022/23 Review,72344,1883.0,1009,2.0,2.0,draw
2022-05-22,Arsenal 5-1 Everton | Fans Rate The Season Out Of 10! (Fan Round Up!),971385,21108.0,7130,5.0,1.0,win
2022-05-24,2021/22 Season Arsenal Player Ratings,74239,1792.0,929,2.0,1.0,win
2022-05-25,"2021/22 Arsenal Season Review | The Supporters Club (ft. Turkish, James, Sheroy & Jordan)",29730,843.0,244,2.0,1.0,win
